title,info,price_text,details_page_url,imag
Pronájem bytu 3+1 86 m²,Brno,17900Kč/měsíc,https://reality.idnes.cz/detail/pronajem/byt/brno/65ca773acbe457cf260da99d/,https://sta-reality2.1gr.cz/sta/compile/thumbs/4/4/8/61ff47befcc75a07bcc4ddff7b457.jpg
Prodej kanceláře 134 m²,"Sámova,Praha10-Vršovice",10500000Kč,https://reality.idnes.cz/detail/prodej/komercni-nemovitost/praha-10-samova/654a3e8e478a2eca670cd1a4/,https://sta-reality2.1gr.cz/sta/compile/thumbs/0/9/8/1890b7a474f2d7cee421affb95a83.jpg
Pronájem bytu 3+kk 110 m²,"Kotíkovská,Plzeň",29500Kč/měsíc,https://reality.idnes.cz/detail/pronajem/byt/plzen-kotikovska/655ba5b264e23853bc059586/,https://sta-reality2.1gr.cz/sta/compile/thumbs/1/7/5/057b93f4450c3aa3f90f637619f52.jpg
Prodej skladovacích prostor 2 438 m²,"Nádražní,Turnov,okresSemily",29900000Kč,https://reality.idnes.cz/detail/prodej/komercni-nemovitost/turnov-nadrazni/64877a3b064cc07fd908f954/,https://sta-reality2.1gr.cz/ui/image/no-image-gallery.png
Prodej skladovacích prostor 3 000 m²,"Dětřichov,okresLiberec",Cenanavyžádání,https://reality.idnes.cz/detail/prodej/komercni-nemovitost/detrichov/64b05ece9a79f6bd930309db/,https://sta-reality2.1gr.cz/sta/compile/thumbs/7/8/b/bd6d92b54e095fee70d2f61d544c4.jpg
Pronájem bytu 2+kk 40 m²,"Smilova,Pardubice-ZelenéPředměstí",13800Kč/měsíc,https://reality.idnes.cz/detail/pronajem/byt/pardubice-smilova/653a4d14ab9a8baa6e05521f/,https://sta-reality2.1gr.cz/sta/compile/thumbs/c/1/e/fc4c60380041466d56937c6057e28.jpg
Prodej komerčního pozemku 1 236 m²,"HamrynadSázavou,okresŽďárnadSázavou",185400Kč,https://reality.idnes.cz/detail/prodej/pozemek/hamry-nad-sazavou/65cb1d4bf04ad8802809e7c2/,https://sta-reality2.1gr.cz/sta/compile/thumbs/a/8/9/5094c6698cd8c3d3da50d3a6518d8.jpg
Pronájem bytu 2+kk 81 m²,"Malešická,Praha3-Žižkov",30000Kč/měsíc,https://reality.idnes.cz/detail/pronajem/byt/praha-3-malesicka/65c4cd948448ceeed9009e55/,https://sta-reality2.1gr.cz/sta/compile/thumbs/d/f/6/dda8c1102ba3b3f3421e95ab4b2de.jpg
Prodej zahrady 4 833 m²,"DlouhýMost,okresLiberec",771000Kč,https://reality.idnes.cz/detail/prodej/pozemek/dlouhy-most/6482e33910eb1dd2aa051ff5/,https://sta-reality2.1gr.cz/sta/compile/thumbs/6/9/2/ad5b84c041e11379b80778338ae2e.jpg
Pronájem bytu 1+kk 25 m²,Vyškov-Lhota,5000Kč/měsíc,https://reality.idnes.cz/detail/pronajem/byt/vyskov/659e50a7da4839790b05d977/,https://sta-reality2.1gr.cz/sta/compile/thumbs/3/6/c/bff391e04b3a3a2c686ac7d2e5532.jpg
,Bavorov,Cenyod2392000Kč,https://reality.idnes.cz/projekt/zelene-duby-cichtice-bavorov/65c9288b84190abaed0325a5/,https://sta-reality2.1gr.cz/sta/compile/thumbs/5/1/2/2e9ec8af8e99063036d39e0e8bb8e.jpg
Prodej kanceláře 400 m²,"Wolkerovaalej,Svitavy-Město",11000000Kč,https://reality.idnes.cz/detail/prodej/komercni-nemovitost/svitavy-wolkerova-alej/63dd43afe7f904425a0f2350/,https://sta-reality2.1gr.cz/ui/image/no-image-gallery.png
Prodej bytu 5+kk 153 m²,"PodJalovýmdvorem,Praha4-Krč,okresPraha",22400000Kč,https://reality.idnes.cz/detail/prodej/byt/praha-4-pod-jalovym-dvorem/63ee274ded9820184f0272f4/,https://sta-reality2.1gr.cz/sta/compile/thumbs/d/4/a/d83ea04c6cb32a00f00c899a5c0c7.jpg
Prodej bytu 4+kk 99 m²,"Moravská,Praha2-Vinohrady",15900000Kč,https://reality.idnes.cz/detail/prodej/byt/praha-2-moravska/64ba49f186a1ccac080f51f7/,https://sta-reality2.1gr.cz/sta/compile/thumbs/a/1/8/baad1df96c17cd0a6a9f7fa13289a.jpg
Prodej bytu 5+kk 153 m²,"Vráto,okresČeskéBudějovice",10250000Kč,https://reality.idnes.cz/detail/prodej/byt/vrato/6372c710477e6526fe4a803e/,https://sta-reality2.1gr.cz/ui/image/no-image-gallery.png
,"Jirchářská,Vimperk",Cenyod1750000Kč,https://reality.idnes.cz/projekt/rezidence-byty-volynka-vimperk-jircharska-vimperk/65ca0b35122d62baf40bef23/,https://sta-reality2.1gr.cz/sta/compile/thumbs/5/2/c/abc630b4dbb2af2ee2d1e33919056.jpg
Prodej bytu 2+kk 84 m²,"Kamechy,Brno",6400000Kč,https://reality.idnes.cz/detail/prodej/byt/brno-kamechy/64df696471fb36abbb06fb6e/,https://sta-reality2.1gr.cz/sta/compile/thumbs/5/c/3/650921586747f52e2e90e27b22d36.jpg
Pronájem domu 523 m² s pozemkem 931 m²,"Goetheho,Praha6-Bubeneč",280000Kč/měsíc,https://reality.idnes.cz/detail/pronajem/dum/praha-6-goetheho/6576bec278919759b6099ba4/,https://sta-reality2.1gr.cz/sta/compile/thumbs/5/5/6/169c37be023bc4fd9992358e808ef.jpg
Prodej chaty/chalupy 623 m² s pozemkem 3 777 m²,"NovéHrady,okresÚstínadOrlicí",6800000Kč,https://reality.idnes.cz/detail/prodej/dum/nove-hrady/64ff4d1f6c27a67f580a4858/,https://sta-reality2.1gr.cz/ui/image/no-image-gallery.png
Prodej bytu 5+1 248 m²,"1.máje,Třinec-StaréMěsto,okresFrýdek-Místek",3200000Kč,https://reality.idnes.cz/detail/prodej/byt/trinec-1-maje/65d70165c85d24001f0c9e0d/,https://sta-reality2.1gr.cz/sta/compile/thumbs/7/9/e/977ec9fec0d94be28a406ca90dbbb.jpg
Prodej bytu 3+kk 80 m²,"Vochov,okresPlzeň-sever",7800000Kč,https://reality.idnes.cz/detail/prodej/byt/vochov/65982313300ef75ebb0885e0/,https://sta-reality2.1gr.cz/sta/compile/thumbs/2/2/7/f0cc77aa3a0814e98bfa6326fddcb.jpg
Prodej bytu 6+kk 187 m²,"Krajní,Sulice-Hlubočinka,okresPraha-východ",11990000Kč,https://reality.idnes.cz/detail/prodej/byt/sulice-krajni/659ae0cd0d9686a6bd04b1ec/,https://sta-reality2.1gr.cz/ui/image/no-image-gallery.png
Prodej bytu 5+1 189 m²,"Haškova,VelkéPřílepy,okresPraha-západ",11990000Kč,https://reality.idnes.cz/detail/prodej/byt/velke-prilepy-haskova/654789f0fdec712ef108054b/,https://sta-reality2.1gr.cz/sta/compile/thumbs/4/2/3/3ae561680c7e980ab1e358845d6e6.jpg
Prodej ubytovacího objektu 2 058 m²,"UMůstku,Jáchymov,okresKarlovyVary",Cenanavyžádání,https://reality.idnes.cz/detail/prodej/komercni-nemovitost/jachymov-u-mustku/62cc0addc4cc3e19df700dd4/,https://sta-reality2.1gr.cz/ui/image/no-image-gallery.png
Prodej bytu 6+kk 255 m²,"Libušina,Černošice,okresPraha-západ",14900000Kč,https://reality.idnes.cz/detail/prodej/byt/cernosice-libusina/65bbc39c33b342f7d10e03ec/,https://sta-reality2.1gr.cz/sta/compile/thumbs/1/b/5/3bff5b103436410a4cb6d21128db1.jpg
Prodej restaurace 165 m²,"Těmice,okresHodonín",3999000Kč,https://reality.idnes.cz/detail/prodej/komercni-nemovitost/temice/64b17f1c9dad8785870c023a/,https://sta-reality2.1gr.cz/sta/compile/thumbs/2/d/a/258474834b80e2b87bd5dc6c766e8.jpg
Prodej domu 330 m² s pozemkem 7 835 m²,"Nučice,okresPraha-západ",Cenanavyžádání,https://reality.idnes.cz/detail/prodej/dum/nucice/653515f3b4e710b94108649b/,https://sta-reality2.1gr.cz/sta/compile/thumbs/b/c/d/8e4320adf650cd0e607a5a0c127cf.jpg
Pronájem výrobních prostor 1 344 m²,"Rájec-Jestřebí,okresBlansko",53760Kč/měsíc,https://reality.idnes.cz/detail/pronajem/komercni-nemovitost/rajec-jestrebi/65d74c864a5ebfb9dd0bd5e0/,https://sta-reality2.1gr.cz/sta/compile/thumbs/2/4/8/49282d5e40a4283c548851a0cc385.jpg
Prodej ubytovacího objektu 550 m²,"Vlčatín,okresTřebíč",11900000Kč,https://reality.idnes.cz/detail/prodej/komercni-nemovitost/vlcatin/649f374fb5f80aa804056f5f/,https://sta-reality2.1gr.cz/sta/compile/thumbs/6/4/f/14fcbccd759ba252ad27a0328661d.jpg
Pronájem restaurace 86 m²,"Bělehradská,Praha2-Vinohrady,okresPraha",49990Kč/měsíc,https://reality.idnes.cz/detail/pronajem/komercni-nemovitost/praha-2-belehradska/65d48b7c63c16bde970ec17c/,https://sta-reality2.1gr.cz/sta/compile/thumbs/c/c/f/fb06a98ffdb20b044ec6e58c97354.jpg
"Prodej garáže 21 m² Tachov, ul. Sokolovská","Sokolovská,Tachov",365000Kč,https://reality.idnes.cz/detail/prodej/maly-objekt-nebo-garaz/tachov-sokolovska/65b999ad6ce39a557105a8d3/,https://sta-reality2.1gr.cz/sta/compile/thumbs/8/4/e/669a2fe2d74117782348aa62fb69c.jpg
Pronájem výrobních prostor 1 571 m²,"Ovčárecká,Kolín-KolínV",170192Kč/měsíc,https://reality.idnes.cz/detail/pronajem/komercni-nemovitost/kolin-ovcarecka/6263b67bf40078260a31b5ac/,https://sta-reality2.1gr.cz/sta/compile/thumbs/d/2/9/c33b3fa2c84f39fd27896a52f5042.jpg
Prodej garáže ve Svitávce,"Školní,Svitávka,okresBlansko",400000Kč,https://reality.idnes.cz/detail/prodej/maly-objekt-nebo-garaz/svitavka-skolni/65d5eb88b957132b5f0a46d9/,https://sta-reality2.1gr.cz/sta/compile/thumbs/d/4/a/f5fa31f7c9866fd2abd8a39539bad.jpg
